,Latitude,Longitude,Hotel,latlon
0,48.85,2.35,,"48.85, 2.35"
1,9.35,42.8,,"9.35, 42.8"
2,54.08,-0.19,,"54.08, -0.19"
3,29.11,21.29,,"29.11, 21.29"
4,-2.92,-39.92,,"-2.92, -39.92"
5,65.83,31.17,,"65.83, 31.17"
6,19.37,-81.42,,"19.37, -81.42"
7,-45.13,170.1,,"-45.13, 170.1"
8,-12.02,17.48,,"-12.02, 17.48"
9,60.91,61.52,,"60.91, 61.52"
10,9.35,42.8,,"9.35, 42.8"
11,57.02,82.07,,"57.02, 82.07"
12,-6.88,112.21,,"-6.88, 112.21"
13,65.58,22.15,,"65.58, 22.15"
14,22.81,115.83,,"22.81, 115.83"
15,51.75,-1.26,,"51.75, -1.26"
16,46.72,-122.95,,"46.72, -122.95"
17,-19.98,57.61,,"-19.98, 57.61"
18,67.1,15.39,,"67.1, 15.39"
19,-17.53,146.03,,"-17.53, 146.03"
20,9.53,31.66,,"9.53, 31.66"
21,46.38,35.37,,"46.38, 35.37"
22,-10.82,-42.73,,"-10.82, -42.73"
23,49.59,81.05,,"49.59, 81.05"
24,62.73,22.57,,"62.73, 22.57"
25,63.5,53.41,,"63.5, 53.41"
26,66.5,25.72,,"66.5, 25.72"
